"플레이스보고서(2025.06.01.~2025.06.30.),daonaa:naver"
"캠페인유형",캠페인,광고그룹유형,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#1,파워링크,모바일,대구전세원룸,1,0,0,0,4
"파워링크",파워링크#1,파워링크,모바일,대구지역저렴한전세집방2개.작은평수도괜찮아요.,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구투룸+예쁜,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구투룸월세35만원,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구투룸평수,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구풀옵션원룸월세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구한의대간호학과원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구한의대경산투룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구한의대근처원룸,3,0,0,0,2.3
"파워링크",파워링크#1,파워링크,모바일,대구한의대부동산,4,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구한의대사동원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구한의대신축원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구한의대역근처원룸,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구한의대역부동산,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구한의대역원룸,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크,모바일,대구한의대원룸,56,0,0,0,1.4
"파워링크",파워링크#1,파워링크,모바일,대구한의대월세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구한의대투룸,1,0,0,0,4
"파워링크",파워링크#1,파워링크,모바일,대구한의대학교신축원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구한의대학교원룸,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구한의대학교주변원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구한의대한방병원원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대연동청춘부동산,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,미니투룸,6,0,0,0,1.8
"파워링크",파워링크#1,파워링크,모바일,백마부동산,25,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,부동산대구,1,0,0,0,12
"파워링크",파워링크#1,파워링크,모바일,부동산상가소개비,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,부동산원룸건물가격,1,1,363,363,3
"파워링크",파워링크#1,파워링크,모바일,부동산원룸소개비,2,0,0,0,2.5
"파워링크",파워링크#1,파워링크,모바일,부동산임대소개비,2,1,77,77,1
"파워링크",파워링크#1,파워링크,모바일,부동산집소개비,3,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,부동산쪽,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,상가로등록된원룸,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,상가부동산소개비,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,상가원룸전기세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,신대리원룸,6,0,0,0,1.8
"파워링크",파워링크#1,파워링크,모바일,신대부동산,60,0,0,0,1.1
"파워링크",파워링크#1,파워링크,모바일,신대부적상가,12,0,0,0,1.1
"파워링크",파워링크#1,파워링크,모바일,신대부적원룸,27,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,신대부적투룸,4,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,신대원룸월세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,신대월세,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,신대투룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대.상가월세,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,영남대.원룸,1,0,0,0,4
"파워링크",파워링크#1,파워링크,모바일,영남대공인중개사,6,0,0,0,3.8
"파워링크",파워링크#1,파워링크,모바일,영남대공인중개사무소,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,영남대근처방,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대근처부동산,4,0,0,0,2.5
"파워링크",파워링크#1,파워링크,모바일,영남대근처아파트,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대근처원룸,37,2,517,"1,034",1.2
"파워링크",파워링크#1,파워링크,모바일,영남대근처월세,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대근처자취방,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대근처자취투룸,1,1,77,77,2
"파워링크",파워링크#1,파워링크,모바일,영남대근처투룸,6,0,0,0,1.8
"파워링크",파워링크#1,파워링크,모바일,영남대기숙사,82,0,0,0,1.2
"파워링크",파워링크#1,파워링크,모바일,영남대단기월세,3,1,308,308,2
"파워링크",파워링크#1,파워링크,모바일,영남대대구원룸,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대매물,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대미니투룸,28,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대미대,16,0,0,0,1.2
"파워링크",파워링크#1,파워링크,모바일,영남대미대뒷길,13,1,77,77,1
"파워링크",파워링크#1,파워링크,모바일,영남대미대뒷길신축원룸,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대미대뒷길원룸,6,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대미대뒷편자취방,3,1,77,77,1
"파워링크",파워링크#1,파워링크,모바일,영남대미투,4,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대방,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대백마부동산,4,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대복층,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대복층원룸,3,1,275,275,1
"파워링크",파워링크#1,파워링크,모바일,영남대복층자취방,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대부동산,215,8,"1,470","11,759",2.6
"파워링크",파워링크#1,파워링크,모바일,영남대부동산추천,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대상가,23,0,0,0,1.6
"파워링크",파워링크#1,파워링크,모바일,영남대상가매매,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,영남대상가매물,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,영남대상가월세,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대상가임대,17,0,0,0,3.6
"파워링크",파워링크#1,파워링크,모바일,영남대상권,3,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대시지부동산,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대신축원룸,6,0,0,0,1.5
"파워링크",파워링크#1,파워링크,모바일,영남대쓰리룸,11,0,0,0,1.9
"파워링크",파워링크#1,파워링크,모바일,영남대아파트월세,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대앞원룸,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,영남대앞자취방,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대여기부동산,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대역,"4,986",0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대역근처원룸,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,영남대역동문근처투룸,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대역부동산,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대역원룸,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,영남대역청춘부동산,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대역투룸,2,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,영남대오피스텔,24,1,495,495,1.5
"파워링크",파워링크#1,파워링크,모바일,영남대오피스텔월세,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,영남대오피스텔전세,1,1,451,451,1
"파워링크",파워링크#1,파워링크,모바일,영남대원룸,591,11,"1,025","11,275",3.8
"파워링크",파워링크#1,파워링크,모바일,영남대원룸가격,3,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대원룸건물매매,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대원룸매매,15,0,0,0,1.1
"파워링크",파워링크#1,파워링크,모바일,영남대원룸매물,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대원룸상가,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대원룸월세,38,0,0,0,2.7
"파워링크",파워링크#1,파워링크,모바일,영남대원룸촌청년창업거리,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대월세,50,0,0,0,1.2
"파워링크",파워링크#1,파워링크,모바일,영남대월세35,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대자취,30,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대자취방,62,10,337,"3,366",1.3
"파워링크",파워링크#1,파워링크,모바일,영남대자취방투룸,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대자취방평수,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대자취투룸,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대전세,13,1,77,77,3.4
"파워링크",파워링크#1,파워링크,모바일,영남대주변오피스텔,3,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대주변원룸시세,3,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대주변원룸전세,1,1,77,77,1
"파워링크",파워링크#1,파워링크,모바일,영남대주변자취방,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대주변전세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대주변투룸시세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대집,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대청년부동산,10,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대청춘부동산,43,1,308,308,1
"파워링크",파워링크#1,파워링크,모바일,영남대청춘사업,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대투룸,114,4,283,"1,133",1.4
"파워링크",파워링크#1,파워링크,모바일,영남대투룸월세,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대투룸전세가격,1,1,77,77,1
"파워링크",파워링크#1,파워링크,모바일,영남대풀옵션원룸월세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대학교근처부동산,4,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,영남대학교근처신축원룸,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,영남대학교근처아파트월세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대학교근처아파트전세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대학교근처원룸,6,1,616,616,1.8
"파워링크",파워링크#1,파워링크,모바일,영남대학교근처전세,3,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대학교미대,7,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대학교부동산,9,2,831,"1,661",3.1
"파워링크",파워링크#1,파워링크,모바일,영남대학교상가임대,2,0,0,0,4
"파워링크",파워링크#1,파워링크,모바일,영남대학교역,41,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대학교오피스텔,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,영남대학교오피스텔월세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대학교오피스텔전세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대학교원룸,42,0,0,0,3.1
"파워링크",파워링크#1,파워링크,모바일,영남대학교원룸월세,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대학교월세,5,0,0,0,1.4
"파워링크",파워링크#1,파워링크,모바일,영남대학교자취,3,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남대학교자취방,7,0,0,0,2.7
"파워링크",파워링크#1,파워링크,모바일,영남대학교조영동인근원룸임대,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대학교주변원룸,4,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남대한의대,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영남매매,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영남부동산,164,1,77,77,1
"파워링크",파워링크#1,파워링크,모바일,영남원룸,7,0,0,0,2.3
"파워링크",파워링크#1,파워링크,모바일,영남한의대투룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영대공인중개사,243,0,0,0,1.6
"파워링크",파워링크#1,파워링크,모바일,영대근처자취방,1,1,440,440,2
"파워링크",파워링크#1,파워링크,모바일,영대네거리근처원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영대네오원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영대대박부동산,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영대룸,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영대매매,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,영대매물,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영대미대뒷길,6,1,77,77,1
"파워링크",파워링크#1,파워링크,모바일,영대미대뒷길원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영대부근원룸,1,0,0,0,4
"파워링크",파워링크#1,파워링크,모바일,영대부동산,77,1,440,440,2.1
"파워링크",파워링크#1,파워링크,모바일,영대상가,12,0,0,0,1.8
"파워링크",파워링크#1,파워링크,모바일,영대상가임대,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영대쓰리룸월세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영대앞월세,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,영대오렌지거리,35,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영대오렌지거리원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영대원룸,123,7,528,"3,696",2.9
"파워링크",파워링크#1,파워링크,모바일,영대원룸가격,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,영대원룸매매,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영대원룸시세,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,영대원룸월세,13,0,0,0,1.5
"파워링크",파워링크#1,파워링크,모바일,영대원룸촌,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영대월세,13,0,0,0,2.7
"파워링크",파워링크#1,파워링크,모바일,영대임대,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크,모바일,영대자취,5,0,0,0,2.2
"파워링크",파워링크#1,파워링크,모바일,영대자취방,3,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영대전세집,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영대주변원룸,3,0,0,0,2.7
"파워링크",파워링크#1,파워링크,모바일,영대청년부동산,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크,모바일,영대투,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,영대투룸,17,0,0,0,1.5
"파워링크",파워링크#1,파워링크,모바일,영대풀옵션,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,영대호박부동산,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,옥상원룸월세,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,원룸대구영남대,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,원룸미니분,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,원룸방사이즈,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,원룸방향추천,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,원룸오피스텔책상,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,원룸월세물세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,원룸월세부동산소개비,3,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,원룸월세전기세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,원룸월세전기요금,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,원룸임대잘하려면,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,원룸자취방전기세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,원룸전세대구,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,원룸전세방보여주기,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,원룸주인방,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,원룸주인집,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크,모바일,원룸주인집세대,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,원룸청소비용부동산,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,원룸층수추천,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,월세35나오는원룸가격,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,월세부동산방보여줌,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,청년대구원룸,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,청년부동산,306,1,253,253,2
"파워링크",파워링크#1,파워링크,모바일,청년부동산경산,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,청년부동산영남대,2,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,청년부동산영대,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,청년부동산원룸,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,청춘공인중개,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,청춘공인중개사,114,1,77,77,1.2
"파워링크",파워링크#1,파워링크,모바일,청춘부동산,412,17,181,"3,080",1.1
"파워링크",파워링크#1,파워링크,모바일,청춘부동산대구,5,2,209,418,1
"파워링크",파워링크#1,파워링크,모바일,청춘부동산대구영남대,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,청춘월세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,청춘합동공인중개사,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,투룸부동산가격,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,투룸부동산소개비,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,투룸전세대구,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,한의대병원주변원룸,1,0,0,0,1
"파워링크",파워링크#2,파워링크,PC,LH전세경산,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,경산LH영남대,1,0,0,0,1
"파워링크",파워링크#2,파워링크,PC,경산LH전세,252,0,0,0,1.1
"파워링크",파워링크#2,파워링크,PC,경산LH투룸,1,0,0,0,2
"파워링크",파워링크#2,파워링크,PC,경산단기원룸,6,0,0,0,5.3
"파워링크",파워링크#2,파워링크,PC,경산미니투룸전세,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,경산부동산,98,1,143,143,6.7
"파워링크",파워링크#2,파워링크,PC,경산사동원룸전세,1,0,0,0,1
"파워링크",파워링크#2,파워링크,PC,경산사동투룸전세,1,0,0,0,1
"파워링크",파워링크#2,파워링크,PC,경산살기좋은원룸,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,경산시부동산,163,0,0,0,3.8
"파워링크",파워링크#2,파워링크,PC,경산시사동원룸,1,0,0,0,1
"파워링크",파워링크#2,파워링크,PC,경산시영남대코아루,1,0,0,0,1
"파워링크",파워링크#2,파워링크,PC,경산시전세,1,0,0,0,10
"파워링크",파워링크#2,파워링크,PC,경산시청춘,1,0,0,0,1
"파워링크",파워링크#2,파워링크,PC,경산신대리부동산,1,0,0,0,2
"파워링크",파워링크#2,파워링크,PC,경산신대리원룸,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,경산신대리전세,1,0,0,0,2
"파워링크",파워링크#2,파워링크,PC,경산신축원룸,2,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,경산쓰리룸,7,0,0,0,3.7
"파워링크",파워링크#2,파워링크,PC,경산쓰리룸전세,1,0,0,0,2
"파워링크",파워링크#2,파워링크,PC,경산압량원룸,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,경산오피스텔부동산,1,0,0,0,5
"파워링크",파워링크#2,파워링크,PC,경산원룸,385,1,143,143,6.2
"파워링크",파워링크#2,파워링크,PC,경산원룸1층,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,경산원룸단기,3,0,0,0,5
"파워링크",파워링크#2,파워링크,PC,경산원룸매매,214,1,132,132,2.5
"파워링크",파워링크#2,파워링크,PC,경산원룸전세,1,0,0,0,7
"파워링크",파워링크#2,파워링크,PC,경산진량읍원룸,2,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,경산투룸,270,3,70,209,4.2
"파워링크",파워링크#2,파워링크,PC,경산투룸리모델링전세,1,0,0,0,2
"파워링크",파워링크#2,파워링크,PC,대구대신축원룸,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,대구대인근원룸,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,대동원룸,6,0,0,0,6.7
"파워링크",파워링크#2,파워링크,PC,부동산경산,2,0,0,0,5
"파워링크",파워링크#2,파워링크,PC,신축원룸전기세,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,여기부동산,12,0,0,0,1
"파워링크",파워링크#2,파워링크,PC,열음부동산,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,영남대LH전세,1,1,77,77,1
"파워링크",파워링크#2,파워링크,PC,영남대고시텔,8,0,0,0,1.5
"파워링크",파워링크#2,파워링크,PC,영남대근처원룸경매,1,0,0,0,2
"파워링크",파워링크#2,파워링크,PC,영남대단기투룸,3,1,77,77,2
"파워링크",파워링크#2,파워링크,PC,영남대부동산,12,0,0,0,7.4
"파워링크",파워링크#2,파워링크,PC,영남대신축원룸,2,0,0,0,1.5
"파워링크",파워링크#2,파워링크,PC,영남대원룸,14,0,0,0,8.8
"파워링크",파워링크#2,파워링크,PC,영남대원룸계약,1,0,0,0,2
"파워링크",파워링크#2,파워링크,PC,영남대원룸계약시,1,0,0,0,2
"파워링크",파워링크#2,파워링크,PC,영남대원룸공실,1,0,0,0,1
"파워링크",파워링크#2,파워링크,PC,영남대원룸단기,1,0,0,0,2
"파워링크",파워링크#2,파워링크,PC,영남대원룸사무실용,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,영남대원룸직거래,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,영남대원룸창고,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,영남대청춘,1,0,0,0,1
"파워링크",파워링크#2,파워링크,PC,영남대학교단독주택,1,0,0,0,1
"파워링크",파워링크#2,파워링크,PC,영남대학교쓰리룸,1,0,0,0,2
"파워링크",파워링크#2,파워링크,PC,영남대학교원룸,1,0,0,0,5
"파워링크",파워링크#2,파워링크,PC,영남대학교원룸LH,2,0,0,0,1
"파워링크",파워링크#2,파워링크,PC,영남대학교원룸여학생,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,영남대한마음부동산,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,영대임당동원룸,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,영대주택,1,0,0,0,1
"파워링크",파워링크#2,파워링크,PC,원룸골목,1,0,0,0,1
"파워링크",파워링크#2,파워링크,PC,원룸사진찍어도되나,1,0,0,0,1
"파워링크",파워링크#2,파워링크,PC,임당동원룸,3,0,0,0,4.7
"파워링크",파워링크#2,파워링크,PC,전세원룸전기세,1,0,0,0,3
"파워링크",파워링크#2,파워링크,PC,조영동부동산,5,0,0,0,2.2
"파워링크",파워링크#2,파워링크,PC,조영동원룸,6,0,0,0,2.3
"파워링크",파워링크#2,파워링크,PC,청춘공인중개사사무소경산,1,0,0,0,2
"파워링크",파워링크#2,파워링크,PC,청춘부동산중계소경산,1,1,77,77,1
"파워링크",파워링크#2,파워링크,모바일,경산.LH,1,0,0,0,2
"파워링크",파워링크#2,파워링크,모바일,경산3룸전세,1,0,0,0,2
"파워링크",파워링크#2,파워링크,모바일,경산4동신축원룸,1,0,0,0,3
"파워링크",파워링크#2,파워링크,모바일,경산LH,3,0,0,0,1
"파워링크",파워링크#2,파워링크,모바일,경산LH원룸,1,0,0,0,1
"파워링크",파워링크#2,파워링크,모바일,경산LH전세,248,2,121,242,1.5
"파워링크",파워링크#2,파워링크,모바일,경산LH전세쓰리룸,4,0,0,0,1.3
"파워링크",파워링크#2,파워링크,모바일,경산LH전세주택,1,0,0,0,2
"파워링크",파워링크#2,파워링크,모바일,경산LH전세투룸,1,0,0,0,1
"파워링크",파워링크#2,파워링크,모바일,경산갓바위원룸,1,0,0,0,3
"파워링크",파워링크#2,파워링크,모바일,경산고시텔,1,0,0,0,2
"파워링크",파워링크#2,파워링크,모바일,경산관리비없는원룸,2,0,0,0,1
"파워링크",파워링크#2,파워링크,모바일,경산나래원룸,1,0,0,0,2
"파워링크",파워링크#2,파워링크,모바일,경산단기원룸,8,0,0,0,4
"파워링크",파워링크#2,파워링크,모바일,경산대구대신축투룸,1,0,0,0,3
"파워링크",파워링크#2,파워링크,모바일,경산대구대원룸,6,0,0,0,2.8
"파워링크",파워링크#2,파워링크,모바일,경산대구대원룸전세,1,0,0,0,3
"파워링크",파워링크#2,파워링크,모바일,경산대구대투룸,3,0,0,0,2.7
"파워링크",파워링크#2,파워링크,모바일,경산대동원룸,14,0,0,0,1.3
"파워링크",파워링크#2,파워링크,모바일,경산리모델링미니투룸,1,0,0,0,2
"파워링크",파워링크#2,파워링크,모바일,경산명문원룸,1,0,0,0,3
"파워링크",파워링크#2,파워링크,모바일,경산미니내원룸,1,0,0,0,1
"파워링크",파워링크#2,파워링크,모바일,경산베란다,1,0,0,0,1
"파워링크",파워링크#2,파워링크,모바일,경산복층원룸,1,0,0,0,4
"파워링크",파워링크#2,파워링크,모바일,경산부동산,48,1,121,121,13.5
"파워링크",파워링크#2,파워링크,모바일,경산부동산추천,1,1,132,132,4
"파워링크",파워링크#2,파워링크,모바일,경산분리형원룸,2,0,0,0,2
"파워링크",파워링크#2,파워링크,모바일,경산사동신축원룸,2,1,77,77,1
"파워링크",파워링크#2,파워링크,모바일,경산사동원룸신축,1,0,0,0,2
"파워링크",파워링크#2,파워링크,모바일,경산사동원룸전세,2,0,0,0,1
"파워링크",파워링크#2,파워링크,모바일,경산사동투룸전세,6,0,0,0,2
"파워링크",파워링크#2,파워링크,모바일,경산사정동원룸,1,0,0,0,2
"파워링크",파워링크#2,파워링크,모바일,경산시부동산,19,0,0,0,3.2
"파워링크",파워링크#2,파워링크,모바일,경산시사동원룸,3,0,0,0,1.3
"파워링크",파워링크#2,파워링크,모바일,경산시신대동원룸,1,0,0,0,2
"파워링크",파워링크#2,파워링크,모바일,경산시압량읍신대리경산코아루,2,0,0,0,2
"파워링크",파워링크#2,파워링크,모바일,경산시여기부동산,4,0,0,0,1.5
"파워링크",파워링크#2,파워링크,모바일,경산시영남대부동산,2,0,0,0,3
"파워링크",파워링크#2,파워링크,모바일,경산시원룸전세,1,0,0,0,4
"파워링크",파워링크#2,파워링크,모바일,경산시원룸좋은곳,1,0,0,0,3
"파워링크",파워링크#2,파워링크,모바일,경산시조영동원룸,1,0,0,0,3
"파워링크",파워링크#2,파워링크,모바일,경산시조영동투룸,1,0,0,0,3
"파워링크",파워링크#2,파워링크,모바일,경산시투룸,3,0,0,0,3.7
